iter	Passed	Remaining
0	67	33105
1	77	19043
2	88	14416
3	98	12008
4	108	10565
5	115	9433
6	125	8748
7	135	8232
8	145	7813
9	152	7394
10	161	7088
11	170	6856
12	180	6685
13	190	6517
14	199	6368
15	209	6271
16	217	6102
17	226	5995
18	235	5888
19	245	5817
20	254	5724
21	263	5656
22	273	5608
23	283	5559
24	294	5518
25	304	5473
26	314	5446
27	326	5428
28	336	5392
29	350	5424
30	361	5403
31	371	5357
32	381	5332
33	391	5302
34	400	5257
35	410	5221
36	418	5166
37	428	5140
38	434	5072
39	444	5042
40	454	5020
41	465	5004
42	475	4983
43	484	4954
44	495	4943
45	505	4922
46	515	4899
47	525	4887
48	534	4856
49	543	4827
50	552	4802
51	559	4758
52	569	4734
53	577	4703
54	586	4680
55	594	4651
56	603	4630
57	611	4597
58	618	4563
59	627	4536
60	636	4519
61	645	4499
62	655	4481
63	665	4470
64	673	4447
65	684	4440
66	693	4418
67	702	4402
68	711	4379
69	719	4360
70	728	4341
71	737	4321
72	746	4303
73	755	4287
74	764	4270
75	772	4248
76	781	4233
77	790	4215
78	799	4198
79	807	4179
80	816	4163
81	824	4143
82	833	4126
83	841	4107
84	849	4088
85	858	4071
86	868	4063
87	878	4053
88	888	4044
89	899	4037
90	907	4020
91	914	3997
92	923	3981
93	932	3966
94	940	3952
95	949	3937
96	958	3923
97	967	3907
98	976	3895
99	984	3878
100	993	3865
101	1001	3850
102	1011	3838
103	1019	3823
104	1028	3809
105	1036	3794
106	1045	3782
107	1054	3769
108	1063	3755
109	1073	3747
110	1083	3737
111	1092	3726
112	1100	3709
113	1109	3698
114	1116	3679
115	1125	3667
116	1134	3654
117	1143	3643
118	1152	3632
119	1160	3618
120	1172	3614
121	1182	3604
122	1190	3591
123	1199	3579
124	1208	3566
125	1218	3559
126	1230	3555
127	1242	3553
128	1256	3555
129	1270	3556
130	1281	3550
131	1291	3542
132	1302	3534
133	1311	3523
134	1321	3515
135	1331	3505
136	1340	3493
137	1349	3482
138	1359	3470
139	1369	3462
140	1377	3449
141	1386	3435
142	1395	3424
143	1404	3412
144	1414	3404
145	1423	3392
146	1433	3383
147	1441	3369
148	1450	3358
149	1458	3343
150	1465	3329
151	1474	3318
152	1485	3309
153	1494	3300
154	1504	3289
155	1514	3280
156	1523	3270
157	1535	3264
158	1546	3257
159	1556	3248
160	1567	3242
161	1579	3236
162	1589	3227
163	1600	3220
164	1612	3214
165	1623	3208
166	1637	3205
167	1650	3203
168	1664	3201
169	1678	3199
170	1692	3196
171	1703	3189
172	1715	3183
173	1727	3176
174	1737	3167
175	1748	3160
176	1762	3155
177	1776	3153
178	1788	3147
179	1800	3141
180	1813	3136
181	1826	3131
182	1838	3124
183	1848	3114
184	1861	3109
185	1872	3100
186	1883	3091
187	1893	3081
188	1904	3072
189	1914	3062
190	1923	3052
191	1931	3038
192	1942	3028
193	1952	3018
194	1961	3007
195	1970	2995
196	1978	2983
197	1988	2972
198	1998	2962
199	2007	2950
200	2017	2940
201	2026	2929
202	2035	2918
203	2042	2903
204	2051	2891
205	2059	2878
206	2068	2867
207	2076	2854
208	2086	2845
209	2095	2834
210	2106	2825
211	2116	2815
212	2124	2802
213	2133	2791
214	2141	2779
215	2150	2767
216	2159	2756
217	2167	2744
218	2176	2732
219	2184	2720
220	2191	2707
221	2200	2695
222	2208	2684
223	2217	2673
224	2228	2664
225	2237	2653
226	2246	2642
227	2255	2631
228	2266	2623
229	2276	2613
230	2287	2604
231	2300	2598
232	2310	2588
233	2321	2579
234	2332	2571
235	2344	2563
236	2355	2554
237	2365	2544
238	2375	2534
239	2386	2525
240	2397	2517
241	2407	2506
242	2418	2498
243	2430	2490
244	2440	2480
245	2450	2470
246	2461	2461
247	2470	2450
248	2480	2440
249	2490	2431
250	2501	2421
251	2511	2411
252	2521	2401
253	2533	2394
254	2548	2388
255	2558	2378
256	2569	2369
257	2578	2358
258	2586	2346
259	2595	2335
260	2603	2324
261	2612	2313
262	2620	2301
263	2629	2290
264	2638	2279
265	2646	2268
266	2655	2258
267	2663	2246
268	2671	2234
269	2680	2223
270	2689	2212
271	2698	2202
272	2708	2192
273	2717	2181
274	2726	2171
275	2735	2160
276	2744	2149
277	2753	2139
278	2760	2127
279	2768	2115
280	2776	2104
281	2785	2093
282	2793	2083
283	2802	2071
284	2810	2060
285	2818	2049
286	2826	2038
287	2835	2028
288	2844	2017
289	2852	2006
290	2861	1996
291	2869	1984
292	2877	1974
293	2886	1963
294	2895	1953
295	2905	1943
296	2915	1933
297	2924	1923
298	2933	1913
299	2940	1901
300	2948	1890
301	2957	1880
302	2965	1869
303	2974	1858
304	2982	1848
305	2990	1837
306	2998	1826
307	3005	1815
308	3013	1804
309	3022	1794
310	3031	1783
311	3039	1773
312	3048	1762
313	3057	1752
314	3065	1741
315	3073	1731
316	3082	1721
317	3091	1711
318	3100	1701
319	3110	1691
320	3119	1681
321	3127	1670
322	3136	1660
323	3144	1649
324	3152	1639
325	3160	1628
326	3168	1617
327	3176	1607
328	3184	1597
329	3192	1586
330	3201	1576
331	3210	1566
332	3218	1556
333	3226	1545
334	3234	1535
335	3242	1524
336	3251	1514
337	3260	1504
338	3267	1494
339	3276	1484
340	3285	1474
341	3294	1464
342	3303	1454
343	3310	1443
344	3319	1433
345	3328	1423
346	3336	1413
347	3345	1403
348	3354	1393
349	3362	1383
350	3371	1373
351	3379	1363
